0,instnm,Total price for in-state students living on campus 2020-21 (DRVIC2020),Avg SAT
1,Massachusetts Institute of Technology,72462,1545
2,University of Chicago,81531,1535
3,Yale University,79370,1520
4,Harvard University,75891,1520
5,Washington University in St Louis,79586,1520
6,Duke University,77069,1520
7,Vanderbilt University,76044,1520
8,Johns Hopkins University,67667,1515
9,Columbia University in the City of New York,77603,1515
10,University of Pennsylvania,81110,1515
11,Rice University,69557,1515
12,Princeton University,68044,1510
13,Carnegie Mellon University,76760,1510
14,Dartmouth College,80184,1500
15,Brown University,80448,1500
16,Stanford University,78218,1495
17,Northwestern University,81283,1490
18,University of Notre Dame,76883,1475
19,Northeastern University,75732,1475
20,Cornell University,78992,1470
21,Georgetown University,78754,1465
22,Emory University,72884,1455
23,Tufts University,79000,1455
24,Georgia Institute of Technology-Main Campus,29802,1450
25,Colby College,76425,1450
26,Vassar College,78170,1440
27,University of Southern California,80151,1435
28,University of Michigan-Ann Arbor,31484,1430
29,Case Western Reserve University,72128,1430
30,Middlebury College,76946,1430
31,University of California-Berkeley,41528,1420
32,Tulane University of Louisiana,78680,1420
33,University of Rochester,77995,1420
34,Boston College,78572,1415
35,Brandeis University,76195,1415
36,University of Virginia-Main Campus,35664,1415
37,Boston University,77662,1405
38,Stevens Institute of Technology,74432,1400
39,Rensselaer Polytechnic Institute,75824,1400
40,William & Mary,40034,1395
41,Villanova University,75835,1390
42,Colgate University,77580,1385
43,University of North Carolina at Chapel Hill,24546,1385
44,Davidson College,73175,1380
45,University of California-San Diego,35311,1375
46,University of Florida,21431,1375
47,University of Maryland-College Park,27807,1375
48,Binghamton University,27615,1370
49,University of Richmond,72450,1370
50,Macalester College,73771,1365
51,Santa Clara University,72984,1360
52,George Washington University,76276,1360
53,Rose-Hulman Institute of Technology,71664,1360
54,Babson College,74902,1360
55,College of the Holy Cross,72230,1360
56,Colorado School of Mines,37199,1355
57,University of Georgia,27658,1355
58,University of Minnesota-Twin Cities,28827,1350
59,Southern Methodist University,79050,1350
60,Lehigh University,72065,1346.5
61,University of California-Santa Barbara,36949,1345
62,Lafayette College,74008,1345
63,United States Naval Academy,0,1340
64,Bucknell University,75922,1340
65,University of Miami,73712,1335
66,Stony Brook University,27743,1335
67,Trinity University,62596,1335
68,University of Pittsburgh-Pittsburgh Campus,35147,1331.5
69,University of California-Irvine,36041,1330
70,United States Air Force Academy,0,1325
71,United States Military Academy,0,1325
72,Denison University,72820,1325
73,Fordham University,79216,1320
74,Rochester Institute of Technology,67260,1320
75,North Carolina State University at Raleigh,24555,1320
76,California Polytechnic State University-San Luis Obispo,28843,1315
77,Oberlin College,79296,1315
78,Furman University,68234,1315
79,Missouri University of Science and Technology,23887,1314
80,Skidmore College,76630,1311.5
81,Pepperdine University,77912,1305
82,American University,69366,1305
83,University of Alabama in Huntsville,28266,1300
84,Loyola Marymount University,71258,1300
85,Clemson University,32880,1300
86,Illinois Institute of Technology,71168,1295
87,University of Massachusetts-Amherst,32168,1295
88,Rutgers University-New Brunswick,33002,1295
89,Lewis & Clark College,71692,1289
90,Emerson College,74526,1285
91,Providence College,70945,1285
92,University of Connecticut,35074,1280
93,Drexel University,75146,1280
94,Yeshiva University,65875,1275
95,Milwaukee School of Engineering,56864,1275
96,Bentley University,73985,1270
97,St Olaf College,65010,1270
98,St Lawrence University,75550,1270
99,Virginia Polytechnic Institute and State University,27755,1270
100,University of Denver,71929,1265
101,Fairfield University,69815,1265
102,Saint Louis University,64892,1265
103,CUNY Bernard M Baruch College,33798,1265
104,Miami University-Oxford,34499,1265
105,Chapman University,78272,1260
106,University of California-Santa Cruz,39137,1260
107,Mercer University,54856,1260
108,Muhlenberg College,68311,1260
109,Michigan Technological University,31349,1255
110,CUNY Hunter College,24377,1255
111,University of Vermont,35882,1255
112,Gonzaga University,64802,1255
113,University of Maryland-Baltimore County,27118,1250
114,Springfield College,57150,1250
115,Clarkson University,72270,1250
116,The New School,73376,1250
117,Marquette University,62688,1250
118,Auburn University,32678,1240
119,University of Delaware,30932,1240
120,University of South Carolina-Columbia,29121,1240
121,Grove City College,31090,1236.5
